LONGITUDE,LATITUDE,TRIAKIS.MEGALOPTERUS_PA1_Full logistic values
29.398024995,-34.412064719,9.0837374E-4
15.798024995,-31.112064719,0.0
34.598024995,-30.112064719,7.4448675E-4
28.598024995,-34.512064719,0.0014868269
34.198024995,-30.412064719,5.901299E-4
25.998024995,-34.212064719,0.0
15.498024995,-33.312064719,0.0061746757
19.598024995,-36.512064719,0.00742521
22.898024995,-36.112064719,0.0
18.598024995,-36.312064719,0.0
34.698024995,-27.912064719,4.1777836E-4
16.598024995,-34.012064719,0.0
16.798024995,-35.812064719,0.0014786572
17.698024995,-36.912064719,7.112379E-4
30.898024995,-31.712064719,0.0
20.698024995,-35.512064719,0.23265344
33.098024995,-28.312064719,0.0
26.898024995,-34.612064719,0.0
18.498024995,-35.412064719,0.04920615
14.098024995,-30.412064719,0.0047781663
29.398024995,-32.212064719,0.0
19.998024995,-35.112064719,0.75000197
20.298024995,-36.512064719,0.041465204
33.698024995,-31.612064719,2.1518496E-4
28.698024995,-35.612064719,3.401776E-4
19.198024995,-35.512064719,0.18682899
29.198024995,-34.612064719,7.884517E-4
22.098024995,-36.512064719,0.0
27.398024995,-33.412064719,0.36186498
30.298024995,-30.912064719,0.17517692
32.498024995,-33.812064719,1.9561923E-4
18.098024995,-35.712064719,0.012879019
22.198024995,-35.712064719,0.0
16.598024995,-33.612064719,0.02477816
29.998024995,-34.212064719,6.878439E-4
27.898024995,-35.912064719,5.810962E-4
32.898024995,-32.712064719,4.6685967E-4
16.798024995,-30.012064719,0.0018713969
28.698024995,-33.712064719,0.0
23.298024995,-36.912064719,1.6578949E-4
22.498024995,-36.112064719,0.0
27.298024995,-33.812064719,0.0
16.398024995,-32.512064719,0.0
28.798024995,-33.712064719,0.0
29.798024995,-33.412064719,0.0
34.198024995,-28.112064719,8.6386746E-4
22.498024995,-35.012064719,0.0
17.098024995,-32.312064719,0.0
28.298024995,-36.312064719,3.2234707E-4
17.398024995,-34.812064719,0.020266687
28.598024995,-35.012064719,7.5210875E-4
33.198024995,-28.912064719,0.0
29.098024995,-35.312064719,4.0962893E-4
27.998024995,-36.912064719,2.516577E-4
17.998024995,-33.012064719,0.25710967
16.698024995,-36.712064719,2.9036752E-4
15.798024995,-31.512064719,0.0
24.598024995,-34.312064719,0.0
30.498024995,-35.412064719,1.8489052E-4
23.798024995,-37.112064719,1.2832202E-4
17.498024995,-37.112064719,3.651732E-4
35.398024995,-30.112064719,4.6289022E-4
22.498024995,-37.712064719,1.8695122E-4
26.998024995,-35.012064719,0.0014415857
29.798024995,-34.912064719,3.7026597E-4
15.998024995,-35.312064719,8.5307733E-4
19.798024995,-37.112064719,0.0048463847
15.698024995,-30.712064719,0.0
21.998024995,-37.112064719,0.0
23.998024995,-35.412064719,0.0
23.398024995,-34.012064719,0.6497515
18.698024995,-36.512064719,0.0
35.298024995,-27.912064719,1.4210945E-4
