LONGITUDE,LATITUDE,TRIAKIS.MEGALOPTERUS_PA2_RUN1 logistic values
16.698024995,-31.012064719,0.0
22.398024995,-34.612064719,0.063416824
16.098024995,-33.012064719,0.0
32.898024995,-31.612064719,1.5300815E-20
15.198024995,-31.012064719,0.0
32.498024995,-33.312064719,2.6737E-41
32.998024995,-29.012064719,0.0
24.298024995,-35.312064719,7.2937254E-18
24.298024995,-37.112064719,0.0
34.898024995,-28.512064719,3.1708857E-32
25.198024995,-34.312064719,0.35657278
19.098024995,-36.412064719,2.8E-45
17.398024995,-32.712064719,0.18919267
26.398024995,-36.412064719,0.0
34.798024995,-28.712064719,3.453612E-26
17.498024995,-36.312064719,0.0
17.398024995,-31.312064719,0.11678204
28.798024995,-34.612064719,4.6992E-40
31.798024995,-30.312064719,0.0
16.698024995,-32.712064719,5.7443206E-27
30.798024995,-34.012064719,0.0
18.698024995,-37.312064719,9.845874E-35
20.598024995,-36.312064719,0.46541268
16.898024995,-34.912064719,0.0
34.398024995,-28.612064719,3.0944027E-30
31.098024995,-33.012064719,3.1835025E-34
31.298024995,-32.612064719,2.11908E-34
35.898024995,-28.612064719,8.079485E-5
29.498024995,-35.812064719,0.0
22.698024995,-35.012064719,8.7186695E-26
18.198024995,-31.712064719,0.19940113
27.898024995,-33.412064719,0.012277152
19.498024995,-34.912064719,0.09228807
15.598024995,-35.512064719,0.0
15.798024995,-31.112064719,0.058411818
31.998024995,-32.412064719,5.4804027E-28
32.198024995,-32.912064719,2.3469882E-33
13.598024995,-30.812064719,0.0
18.198024995,-37.012064719,0.108879395
14.498024995,-35.012064719,0.0
33.998024995,-30.712064719,9.678536E-19
31.498024995,-29.812064719,0.0
28.498024995,-33.412064719,5.34013E-38
27.998024995,-35.712064719,2.8E-45
16.898024995,-30.912064719,0.031020889
27.898024995,-33.912064719,3.0718215E-13
17.398024995,-31.112064719,0.023212498
15.598024995,-32.812064719,0.0
19.998024995,-37.212064719,0.0
24.498024995,-35.912064719,9.921E-42
26.598024995,-36.012064719,0.0
26.398024995,-35.912064719,0.0
28.298024995,-33.712064719,2.286652E-8
15.998024995,-37.012064719,0.0
25.998024995,-33.712064719,0.8906319
36.098024995,-29.212064719,1.3509139E-5
24.198024995,-37.412064719,0.0
14.798024995,-35.312064719,0.0
24.898024995,-36.112064719,0.0
28.598024995,-33.612064719,2.307835E-12
32.898024995,-29.912064719,2.4573884E-33
23.298024995,-37.112064719,0.0
18.798024995,-36.112064719,0.0
15.098024995,-35.312064719,0.0
30.298024995,-30.912064719,0.48207402
16.998024995,-37.012064719,8.7741046E-14
27.598024995,-33.912064719,5.7469372E-27
16.498024995,-32.612064719,0.0
18.098024995,-32.512064719,0.092516616
17.798024995,-35.212064719,0.0
29.998024995,-35.012064719,0.0
18.498024995,-38.012064719,2.6073208E-32
31.598024995,-31.712064719,3.111967E-23
34.498024995,-28.112064719,1.962E-42
19.198024995,-37.012064719,5.0727505E-30
27.598024995,-34.012064719,1.7828164E-13
14.898024995,-32.612064719,0.0
17.298024995,-37.012064719,7.3070585E-37
17.498024995,-31.012064719,8.996904E-30
33.198024995,-30.512064719,2.2352526E-22
15.298024995,-32.812064719,0.0
21.298024995,-34.612064719,0.8906319
25.798024995,-37.512064719,0.8906319
17.298024995,-31.012064719,0.08469736
17.898024995,-32.012064719,1.0945891E-37
16.798024995,-29.512064719,9.752878E-7
15.398024995,-30.312064719,0.8906319
28.598024995,-35.012064719,0.0
21.698024995,-36.512064719,2.44E-43
22.598024995,-34.612064719,2.6033276E-19
19.598024995,-35.412064719,0.03570298
29.198024995,-32.312064719,3.4477267E-38
16.998024995,-30.312064719,4.8263804E-29
16.698024995,-36.712064719,3.6189785E-10
24.698024995,-34.312064719,0.17990693
28.598024995,-35.212064719,0.0
15.698024995,-31.412064719,0.0
34.698024995,-30.612064719,3.1704818E-5
18.598024995,-34.912064719,0.100489475
34.398024995,-28.712064719,2.7608105E-28
31.298024995,-32.712064719,4.3412292E-33
22.498024995,-37.712064719,0.0
27.898024995,-36.512064719,0.0030692911
29.798024995,-34.512064719,0.0
22.998024995,-37.312064719,0.0
19.298024995,-34.712064719,0.7423948
33.098024995,-29.512064719,5.367071E-24
